Noise (%),Model,Accuracy
0,Logistic Regression,0.9824561403508771
0,Decision Tree,0.9122807017543859
0,Random Forest,0.956140350877193
10,Logistic Regression,0.9473684210526315
10,Decision Tree,0.8333333333333334
10,Random Forest,0.9385964912280702
20,Logistic Regression,0.9385964912280702
20,Decision Tree,0.8070175438596491
20,Random Forest,0.9385964912280702
30,Logistic Regression,0.9122807017543859
30,Decision Tree,0.7543859649122807
30,Random Forest,0.8508771929824561
